Wavelength,AL_Coat_1,AL_Coat_2,AL_Coat_3,AL_Coat_4,AL_Coat_5,AL_Foil_1,AL_Foil_2,AL_Foil_3,AL_Foil_4
341.78,-8,-13,6,0,-10,49,44,34,34
342.11,17.33,15.33,19,28.33,15,42.33,51.33,45,42
342.44,28.33,23,22,32.67,26.67,45,51.33,50.67,47
342.77,21.67,17.33,20.67,15,16,43.67,49.67,50.33,38
343.1,23,14,21.33,22.67,18,50.67,52.67,48.33,50.67
343.43,21.67,20.33,21,25.33,16.67,47.67,56.33,46.67,55.33
343.76,27.33,22.33,22.33,26.67,21.67,48.67,57.67,44,65
344.09,19,21.67,19,17.67,20.33,44,57,42.67,58.33
344.42,28,24.67,28.33,21.33,28,47,63.33,52.67,60
344.75,22.33,23.67,36.33,26,34,46.33,68.33,58,59.33
345.09,29.33,24.33,31.33,24.67,35.33,52,68.33,61.67,60.67
345.42,27.33,19.33,19.33,21.67,24.67,54,58.33,56,53.33
345.75,11,22.33,4.67,19,19.33,55.67,55.33,54.67,57.33
346.08,14.33,15.33,15,24.33,22,61,55,56,62
346.41,8,14,17.67,26.33,27,54,56.33,60.33,64
346.74,16,11.33,18.67,23.67,23,55.33,44.67,60.67,58
347.07,10,24.67,23,21.67,17.67,59,57,65,50.67
347.4,3,14,23,14,9.33,56.67,52.67,54.33,50.67
347.73,3,16.67,21.67,16,10,56,56,48.67,45.67
348.06,9,15,20,9.67,16,41.67,46,35.67,51
348.4,26.33,29.67,28,17.33,23,48,59.67,48.33,59
348.73,35.67,35.33,33.67,20.33,30.67,51,67,56,66.67
349.06,35.33,30.67,30.67,29,31,53.67,64.33,64.67,65
349.39,17.33,26,24.33,21.67,29.67,45.67,59.67,54.33,49.67
349.72,13.67,21.67,22,22.33,24,40.67,59.33,57.67,46.33
350.05,18.33,31.67,24.67,26.33,28.67,44,65.33,57,44.67
350.38,41.67,39.67,40.33,38.33,35,62.33,63.67,62.67,67.33
350.71,40,32,45.33,39,30,66.33,55.33,58,66.33
351.04,31,32,43.33,32.33,14.33,70.67,53,64.33,63.67
